respondent_id,campus,studyfield,branch,role,edulevel,proglang,databases,platform,webframework,industry,allsearch,aitool,employment
10461,Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript;PHP,MariaDB;MySQL;SQLite,Amazon Web Services (AWS),Vue.js,Oil & Gas,none,Rubber Duck.AI,"Employed, full-time"
10462,Midrand Campus,Data Science,I am a developer by profession,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;Python;Rust;TypeScript,none,Netlify,Django;jQuery;Node.js;React;Vue.js,"Manufacturing, Transportation, or Supply Chain",ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify,"Employed, full-time"
10468,Midrand Campus,Computer Science,None of these,unknown,NA,none,none,none,none,Other,none,AWS CodeWhisperer;Codeium;Tabnine;Whispr AI,unknown
10474,Nelson Mandela Bay Campus,Data Science,I am a developer by profession,"Developer, full-stack","Associate degree (A.A., A.S., etc.)",HTML/CSS;Java;JavaScript;SQL;TypeScript,none,none,Angular;Node.js;Spring Boot,"Information Services, IT, Software Development, or other Technology",ChatGPT;You.com,Codeium,"Employed, full-time"
10480,Nelson Mandela Bay Campus,Data Science,I am a developer by profession,"Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C++;Scala,none,none,none,Oil & Gas,none,AWS CodeWhisperer,"Employed, full-time"
10482,Durban,IT,I am a developer by profession,"Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Swift;TypeScript,MongoDB,none,React,Financial Services,Bing AI;ChatGPT,Codeium;Synk Code;Whispr AI,"Employed, full-time"
10483,Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,Student,Some college/university study without earning a degree,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Python,none,Microsoft Azure,none,Insurance,ChatGPT;Google Bard AI,AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine,"Student, full-time"
10483,Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,Student,Some college/university study without earning a degree,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Python,none,Microsoft Azure,none,Insurance,ChatGPT;Google Bard AI,AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine,"Employed, part-time"
10484,Durban,Computer Science,"I used to be a developer by profession, but no longer am",Engineering manager,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript;Python;TypeScript,PostgreSQL,Amazon Web Services (AWS),React;Remix,Oil & Gas,ChatGPT,Mintlify;Synk Code,"Employed, full-time"
10487,Durban,Computer Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,Microsoft SQL Server;MongoDB;MySQL,Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor;CodeIgniter;Express;jQuery;Node.js;React;Spring Boot,Insurance,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot,"Employed, full-time"
10488,Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;Kotlin;Ruby;SQL,Elasticsearch;MySQL;Oracle,Firebase;Heroku,jQuery;Ruby on Rails;Vue.js,Legal Services,none,Adrenaline;GitHub Copilot;Tabnine,"Employed, full-time"
10490,Nelson Mandela Bay Campus,Data Science,I code primarily as a hobby,unknown,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Dart;HTML/CSS;JavaScript;Kotlin;PHP;Python;SQL;TypeScript,Cloud Firestore;MariaDB;MongoDB;MySQL;Redis;SQLite,Firebase;Google Cloud;Heroku;Managed Hosting;Netlify,Angular;Express;jQuery;Laravel;Node.js;Nuxt.js;Symfony;Vue.js,"Information Services, IT, Software Development, or other Technology",none,Adrenaline;GitHub Copilot;Mintlify;Replit Ghostwriter;Synk Code,"Student, full-time"
10492,Nelson Mandela Bay Campus,Computer Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Developer Advocate,Some college/university study without earning a degree,Apex;Bash/Shell (all shells);Go;Groovy;Java;Python;SQL,DuckDB;Oracle;PostgreSQL,Amazon Web Services (AWS);OpenStack;Oracle Cloud Infrastructure (OCI),Spring Boot,"Manufacturing, Transportation, or Supply Chain",Bing AI;ChatGPT,Codeium,"Employed, full-time"
10496,Durban,Data Science,I am a developer by profession,"Developer, front-end","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;Python;Rust;SQL,Cloud Firestore;Firebase Realtime Database;InfluxDB;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Hetzner;OVH;VMware,Django;Express;Flask;Node.js;Vue.js;WordPress,Insurance,ChatGPT,Adrenaline;Tabnine,"Independent contractor, freelancer, or self-employed"
10503,Durban,Data Science,I am a developer by profession,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",HTML/CSS;JavaScript;PHP;SQL;TypeScript,Dynamodb;MariaDB,Digital Ocean;Managed Hosting;Netlify,jQuery;Node.js;Symfony,Wholesale,Bing AI;ChatGPT,GitHub Copilot;Mintlify;Tabnine,"Employed, full-time"
10509,Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,MongoDB;SQLite,none,Next.js;Node.js;React;Spring Boot,Legal Services,Bing AI;ChatGPT,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
10517,Durban,Data Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Project manager,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Kotlin;Python,MariaDB;SQLite,Amazon Web Services (AWS);Hetzner,React;Vue.js,"Information Services, IT, Software Development, or other Technology",ChatGPT,GitHub Copilot;Synk Code;Whispr AI,"Independent contractor, freelancer, or self-employed"
10518,Midrand Campus,IT,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript;PHP;Python;SQL,Dynamodb;Elasticsearch;PostgreSQL;Redis;Snowflake;SQLite;Supabase,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Netlify,Deno;Django;FastAPI;Flask;jQuery;React;Vue.js,Financial Services,ChatGPT;Google Bard AI,GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI;Tabnine,"Employed, full-time"
10520,Durban,Data Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Apex;HTML/CSS;JavaScript;Python;TypeScript,Dynamodb;SQLite,Amazon Web Services (AWS);Firebase;Heroku,jQuery;Node.js;React,Wholesale,none,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr AI,"Employed, full-time"
10521,Nelson Mandela Bay Campus,Data Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Assembly;C;Haskell;Java;Rust;Scala,Cassandra;Dynamodb;Elasticsearch;H2;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS),none,Insurance,none,Favorable,"Employed, full-time"
10523,Durban,Computer Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Elixir;JavaScript,PostgreSQL,none,Phoenix,Retail and Consumer Services,ChatGPT,Codeium;Synk Code;Whispr AI,"Employed, full-time"
10535,Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, back-end",Some college/university study without earning a degree,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor;Vue.js,"Manufacturing, Transportation, or Supply Chain",Bing AI;ChatGPT;WolframAlpha,Codeium;GitHub Copilot;Tabnine,"Independent contractor, freelancer, or self-employed"
10537,Durban,Data Science,I am a developer by profession,"Developer, desktop or enterprise applications","Associate degree (A.A., A.S., etc.)",C#;JavaScript;SQL,Microsoft SQL Server,none,none,Higher Education,none,Replit Ghostwriter,"Employed, full-time"
10540,Nelson Mandela Bay Campus,IT,I am a developer by profession,Other (please specify):,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Dart;JavaScript;Ruby,PostgreSQL,Render,jQuery;Ruby on Rails,Other,none,Synk Code;Tabnine,"Employed, full-time"
10542,Durban,Data Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;C++;JavaScript;PowerShell;TypeScript,PostgreSQL;SQLite,Amazon Web Services (AWS);Google Cloud;VMware,ASP.NET;ASP.NET CORE;jQuery;Node.js;React,Insurance,ChatGPT,AWS CodeWhisperer;GitHub Copilot;Whispr AI,"Employed, full-time"
10543,Nelson Mandela Bay Campus,Data Science,I am a developer by profession,Data scientist or machine learning specialist,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;Java;JavaScript;Python;SQL,Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL,Amazon Web Services (AWS);Cloudflare;Google Cloud;Microsoft Azure,FastAPI;Flask;Node.js;React,Advertising Services,ChatGPT,AWS CodeWhisperer;Mintlify;Replit Ghostwriter;Synk Code;Tabnine,"Employed, full-time"
10544,Midrand Campus,Data Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C++;HTML/CSS;Java;JavaScript;MATLAB;PHP;VBA;Visual Basic (.Net),MySQL;SQLite,Google Cloud,jQuery;Node.js;WordPress,Wholesale,none,AWS CodeWhisperer;Replit Ghostwriter;Rubber Duck.AI;Tabnine,"Employed, part-time"
10545,Durban,Computer Science,I am a developer by profession,"Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Dart,none,Firebase,none,"Manufacturing, Transportation, or Supply Chain",ChatGPT,AWS CodeWhisperer;GitHub Copilot;Synk Code,"Employed, full-time"
10555,Midrand Campus,IT,"I am not primarily a developer, but I write code sometimes as part of my work/studies",System administrator,"Associate degree (A.A., A.S., etc.)",Bash/Shell (all shells);PowerShell;Python,none,Amazon Web Services (AWS);Cloudflare;Google Cloud;Hetzner;Oracle Cloud Infrastructure (OCI),none,Healthcare,ChatGPT;WolframAlpha,GitHub Copilot;Rubber Duck.AI;Tabnine,"Employed, full-time"
10561,Durban,IT,None of these,unknown,NA,none,none,none,none,Oil & Gas,none,GitHub Copilot;Replit Ghostwriter;Whispr AI,unknown
10562,Durban,IT,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;Python,Cloud Firestore;Firebird;MariaDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Digital Ocean;Firebase,Django;Flask,Other,ChatGPT,AWS CodeWhisperer;Rubber Duck.AI,"Employed, full-time"
10565,Midrand Campus,Data Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Python,Elasticsearch;InfluxDB;MongoDB;Redis,Amazon Web Services (AWS),FastAPI,Insurance,ChatGPT;Google Bard AI,GitHub Copilot;Tabnine;Whispr AI,"Employed, full-time"
10566,Nelson Mandela Bay Campus,IT,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;TypeScript,Firebase Realtime Database;MongoDB;MySQL;Redis,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Heroku,Gatsby;Node.js;React,Wholesale,ChatGPT,Adrenaline;GitHub Copilot;Rubber Duck.AI,"Not employed, but looking for work"
10572,Nelson Mandela Bay Campus,IT,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Academic researcher,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",HTML/CSS;JavaScript;Python;SQL,MySQL;SQLite,none,Express;Flask;Next.js;Node.js;React,Financial Services,ChatGPT;WolframAlpha,AWS CodeWhisperer;Tabnine,"Employed, full-time"
10578,Midrand Campus,Computer Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Elixir;Go;Python;SQL,MySQL;PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Google Cloud,Django;Phoenix,Other,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify,"Employed, full-time"
10582,Midrand Campus,Computer Science,I am a developer by profession,"Developer, game or graphics","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL,MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;SQLite,Cloudflare;VMware,Flask;jQuery;Node.js;React;WordPress,"Information Services, IT, Software Development, or other Technology",Bing AI;ChatGPT,Replit Ghostwriter;Tabnine,"Employed, full-time"
10583,Durban,IT,I am a developer by profession,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C#;HTML/CSS;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;Redis;SQLite,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Express,"Manufacturing, Transportation, or Supply Chain",ChatGPT,Replit Ghostwriter;Tabnine,"Employed, full-time"
10583,Durban,IT,I am a developer by profession,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C#;HTML/CSS;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;Redis;SQLite,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Express,"Manufacturing, Transportation, or Supply Chain",ChatGPT,Replit Ghostwriter;Tabnine,"Student, part-time"
10584,Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,unknown,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",HTML/CSS;Java;Rust;SQL;TypeScript,MariaDB;MySQL;PostgreSQL,none,Angular;React,"Information Services, IT, Software Development, or other Technology",ChatGPT;Phind;WolframAlpha,Adrenaline;GitHub Copilot,"Student, full-time"
10585,Durban,IT,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Hardware Engineer,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C;C#,none,none,none,Legal Services,Bing AI;ChatGPT;Perplexity AI,Codeium;Synk Code;Whispr AI,"Employed, full-time"
10587,Midrand Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,none,Angular;ASP.NET;ASP.NET CORE,Healthcare,Bing AI;ChatGPT,AWS CodeWhisperer;Replit Ghostwriter;Tabnine,"Employed, full-time"
10591,Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,unknown,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Ada;Bash/Shell (all shells);C++;Python,none,none,none,"Information Services, IT, Software Development, or other Technology",none,Adrenaline;Codeium;GitHub Copilot,"Employed, full-time"
10606,Durban,Computer Science,I am a developer by profession,"Developer, back-end",Some college/university study without earning a degree,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;Ruby;SQL;TypeScript,Dynamodb;Elasticsearch;H2;MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,Amazon Web Services (AWS);OpenShift,React;Spring Boot,Financial Services,ChatGPT,Replit Ghostwriter,"Employed, full-time"
10610,Durban,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);JavaScript;Python,MongoDB;PostgreSQL;Redis,Heroku;Vercel,Django;FastAPI,"Manufacturing, Transportation, or Supply Chain",none,Adrenaline;Mintlify,"Employed, full-time"
10612,Durban,Computer Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;C++;PowerShell;Python,none,none,none,Wholesale,none,AWS CodeWhisperer;Codeium;Tabnine,"Employed, full-time"
10613,Durban,Computer Science,I am learning to code,System administrator,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP,MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,none,jQuery;Node.js;React;Spring Boot,Other,Bing AI;ChatGPT,GitHub Copilot;Rubber Duck.AI;Tabnine,"Independent contractor, freelancer, or self-employed"
10621,Durban,Computer Science,I am a developer by profession,Engineering manager,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python;Ruby;SQL,H2;Microsoft SQL Server;Oracle;PostgreSQL;Redis,Amazon Web Services (AWS);Managed Hosting;Microsoft Azure;VMware,AngularJS;jQuery;NestJS;Node.js;React;Spring Boot,Advertising Services,ChatGPT,GitHub Copilot;Synk Code;Tabnine,"Employed, full-time"
10622,Durban,IT,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C++;HTML/CSS;JavaScript;Python,MongoDB,Amazon Web Services (AWS),FastAPI;jQuery,Advertising Services,ChatGPT,Adrenaline;AWS CodeWhisperer;Codeium;Mintlify;Rubber Duck.AI;Synk Code;Tabnine,"Employed, full-time"
10623,Durban,IT,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Rust;SQL,MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Fly.io;Hetzner,WordPress,Legal Services,ChatGPT,AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine,"Employed, full-time"
10625,Durban,Computer Science,I am learning to code,unknown,Some college/university study without earning a degree,C;Java;Rust,none,none,none,Wholesale,ChatGPT;WolframAlpha,AWS CodeWhisperer;GitHub Copilot;Tabnine,"Student, full-time"
10627,Durban,IT,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,HTML/CSS;JavaScript;Kotlin;PHP;Python;Solidity;SQL;TypeScript;Visual Basic (.Net),MariaDB;Microsoft SQL Server;MySQL,Amazon Web Services (AWS);Microsoft Azure,Django;Express;jQuery;Laravel;Node.js;React;WordPress,Oil & Gas,Bing AI;ChatGPT,Rubber Duck.AI;Tabnine,"Independent contractor, freelancer, or self-employed"
10627,Durban,IT,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,HTML/CSS;JavaScript;Kotlin;PHP;Python;Solidity;SQL;TypeScript;Visual Basic (.Net),MariaDB;Microsoft SQL Server;MySQL,Amazon Web Services (AWS);Microsoft Azure,Django;Express;jQuery;Laravel;Node.js;React;WordPress,Oil & Gas,Bing AI;ChatGPT,Rubber Duck.AI;Tabnine,"Not employed, but looking for work"
10630,Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Lisp;Perl;Python;Swift;TypeScript,MySQL;PostgreSQL;SQLite,"Amazon Web Services (AWS);Linode, now Akamai",Django;FastAPI;Flask;Gatsby;Node.js;React,"Manufacturing, Transportation, or Supply Chain",none,AWS CodeWhisperer;Codeium;Tabnine,"Employed, full-time"
10633,Durban,IT,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C#;Python;SQL;TypeScript,Elasticsearch;MongoDB;PostgreSQL,Microsoft Azure,Angular;ASP.NET CORE;Next.js;Node.js,Other,ChatGPT,AWS CodeWhisperer;Mintlify,"Employed, full-time"
10634,Midrand Campus,Data Science,I am a developer by profession,Engineering manager,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C++;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,BigQuery;PostgreSQL,Google Cloud,Angular;Next.js;React;Spring Boot,Advertising Services,ChatGPT;Google Bard AI,Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
10635,Durban,Data Science,I am a developer by profession,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;TypeScript,none,Amazon Web Services (AWS),Angular;jQuery;Node.js,Wholesale,ChatGPT,GitHub Copilot;Tabnine;Whispr AI,"Employed, full-time"
10647,Nelson Mandela Bay Campus,Data Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Other (please specify):,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;TypeScript,Dynamodb;Elasticsearch;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS),Angular;NestJS;Next.js;Node.js;React,Retail and Consumer Services,ChatGPT,Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine,"Independent contractor, freelancer, or self-employed"
10649,Durban,IT,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL,Dynamodb;MySQL,Amazon Web Services (AWS),Spring Boot,Healthcare,WolframAlpha,Synk Code;Tabnine;Whispr AI,"Employed, full-time"
10650,Durban,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server,Microsoft Azure,ASP.NET CORE,Wholesale,none,Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine,"Employed, full-time"
10654,Nelson Mandela Bay Campus,Data Science,I code primarily as a hobby,unknown,Some college/university study without earning a degree,HTML/CSS;JavaScript;Python,Microsoft SQL Server,none,none,Healthcare,ChatGPT,AWS CodeWhisperer;Mintlify,I prefer not to say
10656,Nelson Mandela Bay Campus,IT,I am learning to code,unknown,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript,none,none,React,Oil & Gas,none,Mintlify;Synk Code,"Not employed, but looking for work"
10657,Nelson Mandela Bay Campus,Data Science,I am a developer by profession,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;JavaScript;TypeScript,none,none,Angular,"Information Services, IT, Software Development, or other Technology",none,Adrenaline;GitHub Copilot,"Employed, full-time"
10661,Nelson Mandela Bay Campus,Data Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Ada;C;C#;C++;Python,none,none,none,Insurance,none,Tabnine,"Employed, full-time"
10666,Durban,IT,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;JavaScript,Microsoft SQL Server,Microsoft Azure,none,Financial Services,Bing AI;ChatGPT,GitHub Copilot;Replit Ghostwriter;Whispr AI,"Employed, full-time"
10669,Durban,Data Science,I am a developer by profession,Research & Development role,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C++;Rust,none,none,none,Oil & Gas,none,GitHub Copilot;Replit Ghostwriter;Whispr AI,"Employed, full-time"
10670,Midrand Campus,IT,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Clojure;Java,Cassandra;Datomic;PostgreSQL,Hetzner,none,"Information Services, IT, Software Development, or other Technology",none,Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine,"Not employed, but looking for work"
10674,Nelson Mandela Bay Campus,Data Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",System administrator,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,none,Google Cloud,none,Insurance,none,Codeium;Replit Ghostwriter,"Employed, full-time"
10675,Durban,Computer Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Cloud infrastructure engineer,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);PowerShell;SQL,Microsoft SQL Server;MySQL;Oracle,Amazon Web Services (AWS);Google Cloud;Microsoft Azure;Oracle Cloud Infrastructure (OCI),none,Retail and Consumer Services,Bing AI;ChatGPT,Adrenaline;GitHub Copilot;Synk Code,"Employed, full-time"
10691,Durban,Computer Science,I am a developer by profession,"Developer, full-stack","Associate degree (A.A., A.S., etc.)",HTML/CSS;JavaScript;SQL;TypeScript,Oracle,OpenShift,Express;Node.js;React,Retail and Consumer Services,none,GitHub Copilot;Rubber Duck.AI;Tabnine,"Employed, full-time"
10693,Nelson Mandela Bay Campus,Data Science,I am a developer by profession,Cloud infrastructure engineer,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C#;C++;Elixir;Go;Haskell;JavaScript;Python;Rust;TypeScript,Cloud Firestore;Elasticsearch;MariaDB;MongoDB;PostgreSQL;Redis;Snowflake,Cloudflare;Digital Ocean;Firebase;Fly.io;Google Cloud;Hetzner;Microsoft Azure;OpenShift;OpenStack,ASP.NET;ASP.NET CORE;Blazor;FastAPI;Flask;Gatsby;Next.js;Node.js;React;Ruby on Rails,Advertising Services,ChatGPT,Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
10695,Durban,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Amazon Web Services (AWS);Microsoft Azure,AngularJS;ASP.NET;ASP.NET CORE;jQuery,Financial Services,ChatGPT,AWS CodeWhisperer;Mintlify;Replit Ghostwriter;Synk Code;Tabnine,"Employed, full-time"
10697,Durban,Data Science,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,HTML/CSS;JavaScript;PHP;SQL;TypeScript,Cloud Firestore;Firebase Realtime Database;MariaDB;MongoDB;MySQL;SQLite,Cloudflare;Digital Ocean;Firebase,NestJS;Next.js;Node.js;React;Svelte;Vue.js,Advertising Services,ChatGPT;Google Bard AI,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr AI,"Employed, full-time"
10701,Midrand Campus,IT,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Dynamodb;Elasticsearch;MongoDB;PostgreSQL;Redis;Snowflake,Amazon Web Services (AWS);Digital Ocean,Django;Next.js;Node.js;React,Higher Education,ChatGPT;Google Bard AI,AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine,"Employed, full-time"
